id,title,short_desc,zone,infos,services,contact,address,mail,phone,openinghours,interneturl,appointmenturl,virtualvisiturl,bookingurl,troubleshootingurl,geocalisation,photo,regions,Surface,Max Surface,Min Surface,Mean Surface
205,Résidence Vauban,Guyancourt,YVELINES,"Description La résidence est située au cœur de l’université de Versailles Saint-Quentin-en-Yvelines, en plein centre-ville et à proximité du centre commercial. Elle comprend 94 studios, 17 logements en colocation (duplex en colocation pour 2 garçons ou 2 filles) et de 4 appartements.
Equipements Chaque logement dispose d'une kitchenette, d'une douche, d'un réfrégirateur et de toilettes.
AccèsGare : St-Quentin-en-Yvelines (RER C) 
Tarif * de 333 € à 537 € * Loyer toutes charges comprises (eau, chauffage, ELECTRICITE et internet)","Laverie 
  Salles de travail 
  Salles de détente (avec télévision) 
  Wifi 
   Local vélos 
   Parking 
  Gardiennage 
  Vidéo-surveillance","Résidence Vauban
 1 boulevard d’Alembert78280 Guyancourt 
 Téléphone : 01 80 73 04 00 
 Mél :  residence.vauban@crous-versailles.fr 
AccueilDu lundi au vendredi de 9h à 17h à la plateforme situé au 2 rue Pozzo di Borgo 92210 Saint-Cloud",1 boulevard d’Alembert 78280 Guyancourt,residence.vauban@crous-versailles.fr,01 80 73 04 00,,https://www.crous-versailles.fr/,https://www.crous-versailles.fr/,,https://www.crous-versailles.fr/logements/1795-2/,https://www.crous-versailles.fr/,"48.7796516418,2.0441513062",http://ephoto.nuonet.fr/link/Dz4FNVwrUWMAYAE5AG1Tdg,Île-de-France,[],,,
207,Résidence Le Square de l'Echiquier,Cergy-Pontoise,VAL D'OISE,"DescriptionRésidence universitaire nouvellement réhabilitée, située à proximité du centre-ville, du cinéma et à 5 minutes à pied de la gare du RER A Cergy Saint-Christophe.
Equipements Elle comprend 221 studios et 8 logements en colocation.Chaque studio dispose d’une kitchenette et d’une douche individuelle.Chaque étudiant dispose de sa propre chambre dans les logements en colocation. La kitchenette et l’espace convivial sont communs aux 2 étudiants. 
 
Accès Gare : Cergy Saint-Christophe (RER A).
Tarif *334 € * Loyer toutes charges comprises (eau, EDF, chauffage et internet)","Wifi 
   Laverie 
  salle de sport 
  Gardiennage 
  Vidéo-surveillance","Résidence Le Square de l'échiquier
9 square de l'échiquier 95800 Cergy-Pontoise 
 Téléphone : 01 30 30 38 53  
 Mél : residence.lacroix@crous-versailles.fr 
   
 AccueilLa plateforme d’accueil de la résidence La Croix St-Sylvère est ouverte Du lundi au vendredi de 9h à 12h30 et de 13h30 à 17h.Mardi de 13h30 à 17h.Rue La Croix Saint-Sylvère 95014 Cergy-Pontoise. 
 Permanence :Le Lundi de 17h à 20h.",9 square de l'échiquier 95800 Cergy-Pontoise,residence.lacroix@crous-versailles.fr,01 30 30 38 53,,https://www.crous-versailles.fr/,https://www.crous-versailles.fr/,,https://www.crous-versailles.fr/logements/1795-2/,https://www.crous-versailles.fr/,"49.0482978821,2.02688694",http://stockcrous.fr/static-images/10bcd8bb8ec6492b49e24f41c4d698a8.jpg,Île-de-France,[],,,
214,Résidence Les Bas Longchamps,Bagneux,HAUTS DE SEINE,"Description Résidence universitaire située à proximité du campus et de l'IUT de Sceaux, de l'ENS et de l'IUT de cachan, l’université de Paris-Sud, l'université de Chatenay-Malabri, de l'EPF et à 20 minutes de Paris par les transports en commun. 
 Elle comprend 14 studios (de 17 à 28 m2) et 14 sont accessibles aux personnes à mobilité réduite et 74 logements en colocation. 
 
Equipements Un code permet d’accéder à la résidence. Chacun des studios dispose d’une kitchenette, d’une douche individuelle et d’un accès à Internet. 
 
Accès Gare : Bagneux (RER B) Plusieurs lignes de bus desservent également la résidence 
 
Tarifs * de 332 à 359 € * toutes charges comprises (eau, EDF, chauffage et internet)","Laverie 
    Salles de travail et de détente 
   Wifi 
  Local vélos 
  Gardiennage 
  Vidéo-surveillance","Résidence de Bagneux /Les Bas de Longchamps
 2 rue Abraham Lincoln 92220 Bagneux 
 Téléphone : 01 86 63 00 90 
 Mél :  residence.bagneux@crous-versailles.fr 
Accueil
Plateforme d'accueilBât B de la résidence ""Olympe de Gouges"", 31 avenue Lombart à Fontenay-aux-Roses (92260) 
 Lundi : 8h30 à 12h30 et 13h30 à 17hMardi : 8h à 12h30 et 13h30 à 19hMercredi : 8h à 12h30 et 13h30 à 19hJeudi : 8h30 à 12h30 et 13h30 à 17hVendredi : 8h30 à 17h (sans interruption)  
 Pendant les périodes de vacances scolaires, l’accueil se fera du lundi au jeudi de 8h30 à 12h30 et de 13h30 à 17h et le vendredi de 8h30 à 12h30 et de 13h30 à 16h.",2 rue Abraham Lincoln 92220 Bagneux,residence.bagneux@crous-versailles.fr,01 86 63 00 90,,https://www.crous-versailles.fr/,https://www.crous-versailles.fr/,,https://www.crous-versailles.fr/logements/1795-2/,https://www.crous-versailles.fr/,"48.7906913757,2.3169708252",https://admin-v2.crous-mobile.fr//media/files/CROUS-Versailles/R%C3%A9sidences/bagneux.jpg,Île-de-France,[28.0],28.0,28.0,28.0
225,Résidence de l’Ile,Bures-sur-Yvette,ESSONNE,"Description Résidence universitaire située à proximité du campus universitaire de Paris-Sud et des établissements d’enseignement supérieur. 
 Elle comprend 290 studios (18 m2) dont 9 sont accessibles aux personnes à mobilité réduite et 12 appartements.
Equipements Un badge permet d’accéder à la résidence et au parking. Chacun des logements de type T1 dispose d’une kitchenette, d’une douche individuelle et d’un accès à internet à haut-débit.
Accès Gare : Bures-sur-Yvette (RER B)Plusieurs lignes de bus desservent la résidence.
Tarif * 362 à 470 € * Loyer toutes charges comprises (eau, EDF, chauffage et internet)","Salles de détente, une avec télévision 
   Salle de travail 
  Bibliothèque 
  Laverie 
  Parking 
 Wifi 
  Gardiennage 
  Vidéo-surveillance","Résidence de l’Ile
14 rue du Docteur Collé - bâtiment 227 du campus universitaire 91440 Bures-sur-Yvette 
 Téléphone : 01 69 07 68 96 / 06 42 28 96 70  
 Mél : residence.ile@crous-versailles.fr 
   
 Accueil : A la plateforme de la résidence de l'IleLes Lundi, Mardi, Jeudi et Vendredi : de 8h30 à 16h30Les Mercredi : de 8h30 à 19h3014 rue du Docteur Collé bâtiment 227 du campus 91440 Bures-sur-Yvette",14 rue du Docteur Collé - bâtiment 227 du campus universitaire  91440 Bures-sur-Yvette,residence.ile@crous-versailles.fr,01 69 07 68 96,,https://www.crous-versailles.fr/,https://www.crous-versailles.fr/,,https://www.crous-versailles.fr/logements/1795-2/,https://www.crous-versailles.fr/,"48.698802948,2.1578958035",https://admin-v2.crous-mobile.fr//media/files/CROUS-Versailles/R%C3%A9sidences/Lile-Bures-sur-Yvette-07.jpg,Île-de-France,[18.0],18.0,18.0,18.0
228,Résidence La Pacaterie,Orsay,ESSONNE,"Description Résidence universitaire longée par la rivière de l’Yvette, située au sein du campus de l’université de Paris-Sud et à proximité de la bibliothèque universitaire, du restaurant universitaire Les Cèdres et du parc Charles Boucher.Elle abrite plusieurs associations étudiantes, notamment les clubs de peinture et de photos.La résidence comprend 309 chambres traditionnelles.
Equipement Un code permet d’accéder à la résidence. Celle-ci est aménagée de différentes salles communes, de cuisines, et d’autres fonctionnalités pratiques pour les résidents. Chacune des chambres dispose d’une connexion à Internet.
Accès Gare : Orsay-ville ou Le guichet (RER B) - Des bus desservent également la résidence.
Tarif *De 154 € à 266 € * Loyer toutes charges comprises (eau, EDF, chauffage et internet)","Salles de détente             (télévision, atelier peinture, musique) 
   Salles de travail 
  Salle informatique 
  Laboratoire photos 
  Laverie 
  Parking 
  Internet (ADSL, wifi) 
  Gardiennage 
  Vidéo-surveillance","Résidence La Pacaterie
Bâtiment 499 - rue de la Pacaterie 91400 Orsay
Téléphone : 01 69 15 75 98 
 Mél : residence.pacaterie@crous-versailles.fr
Accueil 
 Permanence sur la résidence la Pacaterie le mardi : de 11h30 à 19h30",Bâtiment 499 - rue de la Pacaterie 91400 Orsay,residence.pacaterie@crous-versailles.fr,01 69 15 75 98,,https://www.crous-versailles.fr/,https://www.crous-versailles.fr/,,https://www.crous-versailles.fr/logements/1795-2/,https://www.crous-versailles.fr/,"48.7015419006,2.1846776009",https://admin-v2.crous-mobile.fr//media/files/CROUS-Versailles/R%C3%A9sidences/crous-versailles-la-pacaterie.jpg,Île-de-France,[],,,
233,Résidence La Fresque,Versailles,YVELINES,"Description Résidence universitaire située aux portes de l’UFR des sciences de l’Université de Versailles-Saint-Quentin-en-Yvelines, au sein du quartier résidentiel de Clagny-Glatigny et non loin du centre-ville et de la forêt domaniale de Fausses Reposes.Elle comprend 60 studios (de 17 à 25,30 m2), tous accessibles aux personnes à mobilité réduite.
Equipements Chacun des studios dispose d’une kitchenette, d’une douche individuelle et d’un accès à internet à haut-débit.
Accès Gare : Versailles Rive-droiteBus : Arrêt de bus ligne 4 Richard Micque
Tarif * 424 à 537 € * Loyer toutes charges comprises (eau, EDF, chauffage et internet).","Salles de travail 
  Salles de détente 
  Laverie 
  Local à vélos 
  Wifi 
  Parking à réserver 
  Gardiennage 
  Vidéo-surveillance","Résidence La Fresque
 10 rue Edmé Bouchardon 78000 Versailles 
 Téléphone : 01 80 73 04 00 
 Mél :  residence.la-fresque@crous-versailles.fr 
AccueilDu lundi au vendredi de 9h à 17h à la plateforme située au 2 rue Pozzo di Borgo 92210 Saint-Cloud",10 rue Edmé Bouchardon 78000 Versailles,residence.la-fresque@crous-versailles.fr,01 80 73 04 00,,https://www.crous-versailles.fr/,https://www.crous-versailles.fr/,,,https://www.crous-versailles.fr/,"48.8112220764,2.1460649967",https://admin-v2.crous-mobile.fr//media/files/CROUS-Versailles/R%C3%A9sidences/La-fresque.jpg,Île-de-France,[25.3],25.3,25.3,25.3
1184,Résidence Les Linandes Mauves Extension,Cergy-Pontoise,VAL D'OISE,"Description Résidence universitaire située en plein centre-ville, à proximité de l’université de Cergy-Pontoise et du centre-commercial Les 3 fontaines.Elle comprend 61 logements en colocation, dont 5 sont accessibles aux personnes à mobilité réduite.
Equipement Chacun des studios dispose d’une kitchenette, d’une douche individuelle et d’un accès à internet à haut-débit. Un badge permet d’accéder à la résidence.
AccèsGare : Cergy-Préfecture (RER A)
Tarifs * 311 € à 348 € * Loyer toutes charges comprises (eau, EDF, chauffage et internet)","Laverie 
  Parking 
  Wifi 
  Gardiennage 
  Vidéo-surveillance","Résidence Les Linandes Mauves Extension
1 rue des Linandes Mauves 95000 Cergy-Pontoise
Téléphone : 01 30 30 72 74 
Mél : residence.lacroix@crous-versailles.fr
AccueilLa plateforme d’accueil de la résidence est situé à La Croix St-Sylvère, quartier Croix St-Sylvère 95014 CERGY PONTOISE, aux horaires suivant :Du lundi au vendredi de 9h à 12h30 et de 13h30 à 17h.Mardi de 13h30 à 17h. 
 Permanence à la résidence : Le lundi de 17h à 20h.",1 rue des Linandes Mauves 95000 Cergy-Pontoise,residence.lacroix@crous-versailles.fr,01 30 30 72 74,,https://www.crous-versailles.fr/,https://www.crous-versailles.fr/,,https://www.crous-versailles.fr/logements/1795-2/,https://www.crous-versailles.fr/,"49.0427703857,2.0711619854",https://admin-v2.crous-mobile.fr//media/files/CROUS-Versailles/R%C3%A9sidences/Crous-versailles-Linandes-Mauves-extension.jpg,Île-de-France,[],,,
1263,Résidence Jean d'Ormesson,Palaiseau,ESSONNE,"DescriptionLa résidence est située idéalement près des établissements d'Enseignement supérieur de Paris-Saclay au sein de la ZAC de l'Ecole Polytechnique. Elle comprend 193 studios et 22 grands appartements. 23 colocations de 4 personnes sont également possibles.EquipementsChaque logement dispose d'une kitchenette, d'une douche, d'un réfrégirateur, d'un four micro-ondes et de toilettes.AccèsGare : Station Lozére (RER B)Tarif *de 313 à 456 € * Loyer toutes charges comprises (eau, chauffage, ELECTRICITE et internet)",Salles de travailSalle de détenteSalle de musiqueCuisine partagéeLaverie (aménagée en véritable lieu de convivialité)Espace co-working,"Résidence Jean d'Ormesson 
 20 cours Pierre Vasseur 91120 Palaiseau 
 Téléphone : 01.69.15.38.30 / 06.22.85.59.45 
 Mél : residence.jean-dormesson@crous-versailles.fr
AccueilPlateforme d’accueil à la résidence George SandRue Francis Perrin91192 Gif-sur-Yvette",20 cours Pierre Vasseur 91120 Palaiseau,residence.jean-dormesson@crous-versailles.fr,01.69.15.38.30,,https://www.crous-versailles.fr/,https://www.crous-versailles.fr/,,,https://www.crous-versailles.fr/,"48.713,2.20353",https://youtu.be/zXfGNcPU2fI,Île-de-France,[],,,
145,Taur,,Toulouse Centre,"Voir la visite en grand

 


Voir d'autres photos de la résidence

   
Localisation
 A proximité de la Basilique Saint-Sernin et proche de l'université Toulouse 1 Capitole. 
   
 
Accès
 Métro : ligne A Capitole | ligne B Jeanne d'Arc.Bus : L1, Aéroport, 15, 23, 29, 38, 39, 42, 45 et 70.Vélô Toulouse stations : n°33 rue Henri Beraldi et n°56 rue Merly. 
 
Types de logements et équipements

Logement individuel : sanitaires et kitchenette individuels.
Logement en colocation (pour 2 étudiants) : chambres individuelles, sanitaires et cuisine partagés.

 Cette résidence propose également des logements Bed&Crous. Plus d'infos sur bedandcrous.com
 
Tarifs
Consulter les différents tarifs","Accès sécurisé
 Internet filaire et wifi + accès Eduoram
 Racks à vélos","Taur
 6 rue Bellegarde31000 ToulouseTél. 05 62 25 62 28hebergement.arsenal@crous-toulouse.fr",6 rue Bellegarde 31000 Toulouse,hebergement.arsenal@crous-toulouse.fr,05 62 25 62 28,,http://www.crous-toulouse.fr/,http://www.crous-toulouse.fr/,,http://www.crous-toulouse.fr/,http://www.crous-toulouse.fr/,"43.60779953,1.4429899454",https://tourmkr.com/F1alaW9wY4,Occitanie,[],,,
150,Les Humanités,,Toulouse ouest,"Voir la visite en grand

 


Voir d'autres photos de la résidence
 
Localisation
 Sur le campus de l'Université Toulouse Jean-Jaurès.
Accès
 Métro : ligne A Mirail-Université.Bus : 14.Station vélo Toulouse : n°221 rue Vauquelin.
Types de logements et équipements
 T1 et T1 PMR de 18 m² : cuisine équipée et sanitaires individuels.T1bis colocation de 34 m² : cuisine équipée et sanitaires individuels.T2 couple de 47 m² : cuisine équipée et sanitaires individuels.T3 colocation de 65 m² : cuisine équipée et sanitaires individuels. 
 
Tarifs
Consulter les différents tarifs des logements","Accès sécurisé
 Veilleur de nuit
 Internet filaire
 Bibliothèque
 Foyer
 Laverie
 Salle d'étude
 Parking
 Garage à vélos","Les Humanités
 5 Allées Antonio Machado31058 ToulouseTél. 05 61 12 55 20residence.humanites@crous-toulouse.fr",5 Allées Antonio Machado 31058 Toulouse,residence.humanites@crous-toulouse.fr,05 61 12 55 20,,http://www.crous-toulouse.fr/,http://www.crous-toulouse.fr/,,http://www.crous-toulouse.fr/,http://www.crous-toulouse.fr/,"43.5783004761,1.4039800167",https://tourmkr.com/F1oXNOoNSP,Occitanie,"[18.0, 34.0, 47.0, 65.0]",65.0,18.0,41.0
